,geneSymbol,geneSymbol_link,map_loc,chromosome,synonyms,summary
10,MGP000237,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ATP1A3,19q13.31,19,RDP; AHC2; CAPOS; DYT12;,"The protein encoded by this gene belongs to the family of P-type cation transport ATPases, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The catalytic subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes an alpha 3 subunit. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012]"
11,MGP000239,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ATP1A4,1q23.2,1,ATP1A1; ATP1AL2;,"The protein encoded by this gene belongs to the family of P-type cation transport ATPases, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The catalytic subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes an alpha 4 subunit. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]"
12,MGP000240,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ATP1B1,1q24,1,ATP1B;,"The protein encoded by this gene belongs to the family of Na+/K+ and H+/K+ ATPases beta chain proteins, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane. The glycoprotein subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes a beta 1 subunit. Alternatively spliced transcript variants encoding different isoforms have been described, but their biological validity is not known. [provided by RefSeq, Mar 2010]"
13,MGP000241,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ATP1B2,17p13.1,17,AMOG;,"The protein encoded by this gene belongs to the family of Na+/K+ and H+/K+ ATPases beta chain proteins, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane. The glycoprotein subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes a beta 2 subunit. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2014]"
14,MGP000242,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ATP1B3,3q23,3,CD298; ATPB-3;,"The protein encoded by this gene belongs to the family of Na+/K+ and H+/K+ ATPases beta chain proteins, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane. The glycoprotein subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes a beta 3 subunit. This gene encodes a beta 3 subunit. A pseudogene exists for this gene, and it is located on chromosome 2. [provided by RefSeq, Jul 2008]"
15,MGP000245,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ATP2A2,12q24.11,12,DD; DAR; ATP2B; SERCA2;,"This gene encodes one of the SERCA Ca(2+)-ATPases, which are intracellular pumps located in the sarcoplasmic or endoplasmic reticula of muscle cells. This enzyme catalyzes the hydrolysis of ATP coupled with the translocation of calcium from the cytosol into the sarcoplasmic reticulum lumen, and is involved in regulation of the contraction/relaxation cycle. Mutations in this gene cause Darier-White disease, also known as keratosis follicularis, an autosomal dominant skin disorder characterized by loss of adhesion between epidermal cells and abnormal keratinization. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Oct 2008]"
16,MGP000381,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CACNA1C,12p13.3,12,TS; LQT8; CACH2; CACN2; CaV1.2; CCHL1A1; CACNL1A1;,"This gene encodes an alpha-1 subunit of a voltage-dependent calcium channel. Calcium channels mediate the influx of calcium ions into the cell upon membrane polarization. The alpha-1 subunit consists of 24 transmembrane segments and forms the pore through which ions pass into the cell. The calcium channel consists of a complex of alpha-1, alpha-2/delta, beta, and gamma subunits in a 1:1:1:1 ratio. There are multiple isoforms of each of these proteins, either encoded by different genes or the result of alternative splicing of transcripts. The protein encoded by this gene binds to and is inhibited by dihydropyridine. Alternative splicing results in many transcript variants encoding different proteins. Some of the predicted proteins may not produce functional ion channel subunits. [provided by RefSeq, Oct 2012]"
17,MGP003746,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CACNA1G,17q22,17,NBR13; Cav3.1; Ca(V)T.1;,"Voltage-sensitive calcium channels mediate the entry of calcium ions into excitable cells, and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division, and cell death. This gene encodes a T-type, low-voltage activated calcium channel. The T-type channels generate currents that are both transient, owing to fast inactivation, and tiny, owing to small conductance. T-type channels are thought to be involved in pacemaker activity, low-threshold calcium spikes, neuronal oscillations and resonance, and rebound burst firing. Many alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Sep 2011]"
18,MGP003745,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CACNA1H,16p13.3,16,ECA6; EIG6; Cav3.2; CACNA1HB;,"This gene encodes a T-type member of the alpha-1 subunit family, a protein in the voltage-dependent calcium channel complex. Calcium channels mediate the influx of calcium ions into the cell upon membrane polarization and consist of a complex of alpha-1, alpha-2/delta, beta, and gamma subunits in a 1:1:1:1 ratio. The alpha-1 subunit has 24 transmembrane segments and forms the pore through which ions pass into the cell. There are multiple isoforms of each of the proteins in the complex, either encoded by different genes or the result of alternative splicing of transcripts. Alternate transcriptional splice variants, encoding different isoforms, have been characterized for the gene described here. Studies suggest certain mutations in this gene lead to childhood absence epilepsy (CAE). [provided by RefSeq, Jul 2008]"
19,MGP003841,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CACNA2D2,3p21.3,3,CACNA2D;,"Calcium channels mediate the entry of calcium ions into the cell upon membrane polarization. This gene encodes the alpha-2/delta subunit of the voltage-dependent calcium channel complex. The complex consists of the main channel-forming subunit alpha-1, and auxiliary subunits alpha-2/delta, beta, and gamma. The auxiliary subunits function in the assembly and membrane localization of the complex, and modulate calcium currents and channel activation/inactivation kinetics. The subunit encoded by this gene undergoes post-translational cleavage to yield the extracellular alpha2 peptide and a membrane-anchored delta polypeptide. This subunit is a receptor for the antiepileptic drug, gabapentin. Mutations in this gene are associated with early infantile epileptic encephalopathy. Single nucleotide polymorphisms in this gene are correlated with increased sensitivity to opioid drugs. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Mar 2014]"
20,MGP000386,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CACNB1,17q21-q22,17,CAB1; CCHLB1; CACNLB1;,"The protein encoded by this gene belongs to the calcium channel beta subunit family. It plays an important role in the calcium channel by modulating G protein inhibition, increasing peak calcium current, controlling the alpha-1 subunit membrane targeting and shifting the voltage dependence of activation and inactivation. Alternative splicing occurs at this locus and three transcript variants encoding three distinct isoforms have been identified. [provided by RefSeq, Jul 2008]"
21,MGP000396,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CALM1,14q32.11,14,caM; CAMI; PHKD; CPVT4; DD132; CALML2;,"This gene encodes a member of the EF-hand calcium-binding protein family. It is one of three genes which encode an identical calcium binding protein which is one of the four subunits of phosphorylase kinase. Two pseudogenes have been identified on chromosome 7 and X. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Oct 2009]"
22,MGP000549,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CHRM2,7q31-q35,7,HM2;,"The muscarinic cholinergic receptors belong to a larger family of G protein-coupled receptors. The functional diversity of these receptors is defined by the binding of acetylcholine to these receptors and includes cellular responses such as adenylate cyclase inhibition, phosphoinositide degeneration, and potassium channel mediation. Muscarinic receptors influence many effects of acetylcholine in the central and peripheral nervous system. The muscarinic cholinergic receptor 2 is involved in mediation of bradycardia and a decrease in cardiac contractility. Multiple alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Jul 2008]"
23,MGP000839,http://www.genenames.org/cgi-bin/gene_symbol_report?match=DLG1,3q29,3,hdlg; DLGH1; SAP97; SAP-97; dJ1061C18.1.1;,"This gene encodes a multi-domain scaffolding protein that is required for normal development. This protein may have a role in septate junction formation, signal transduction, cell proliferation, synaptogenesis and lymphocyte activation. Several alternatively spliced transcript variants encoding different isoforms have been described for this gene, but the full-length nature of some of the variants is not known. [provided by RefSeq, Feb 2011]"
24,MGP000243,http://www.genenames.org/cgi-bin/gene_symbol_report?match=FXYD2,11q23,11,HOMG2; ATP1G1;,"This gene encodes a member of the FXYD family of transmembrane proteins. This particular protein encodes the sodium/potassium-transporting ATPase subunit gamma. Mutations in this gene have been associated with Renal Hypomagnesemia-2. Alternatively spliced transcript variants have been described. Read-through transcripts have been observed between this locus and the upstream FXYD domain-containing ion transport regulator 6 (FXYD6, GeneID 53826) locus.[provided by RefSeq, Feb 2011]"
25,MGP004091,http://www.genenames.org/cgi-bin/gene_symbol_report?match=HCN4,15q24.1,15,SSS2;,"This gene encodes a member of the hyperpolarization-activated cyclic nucleotide-gated potassium channels. The encoded protein shows slow kinetics of activation and inactivation, and is necessary for the cardiac pacemaking process. This channel may also mediate responses to sour stimuli. Mutations in this gene have been linked to sick sinus syndrome 2, also known as atrial fibrillation with bradyarrhythmia or familial sinus bradycardia. Two pseudogenes have been identified on chromosome 15. [provided by RefSeq, Oct 2008]"
26,MGP001686,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ITPR1,3p26.1,3,ACV; CLA4; IP3R; IP3R1; SCA15; SCA16; SCA29; INSP3R1; PPP1R94;,"This gene encodes an intracellular receptor for inositol 1,4,5-trisphosphate. Upon stimulation by inositol 1,4,5-trisphosphate, this receptor mediates calcium release from the endoplasmic reticulum. Mutations in this gene cause spinocerebellar ataxia type 15, a disease associated with an heterogeneous group of cerebellar disorders. Multiple transcript variants have been identified for this gene. [provided by RefSeq, Nov 2009]"
27,MGP001686,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ITPR1,3p26.1,3,ACV; CLA4; IP3R; IP3R1; SCA15; SCA16; SCA29; INSP3R1; PPP1R94;,"This gene encodes an intracellular receptor for inositol 1,4,5-trisphosphate. Upon stimulation by inositol 1,4,5-trisphosphate, this receptor mediates calcium release from the endoplasmic reticulum. Mutations in this gene cause spinocerebellar ataxia type 15, a disease associated with an heterogeneous group of cerebellar disorders. Multiple transcript variants have been identified for this gene. [provided by RefSeq, Nov 2009]"
28,MGP001703,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNA5,12p13,12,HK2; HCK1; PCN1; ATFB7; HPCN1; KV1.5;,"Potassium channels represent the most complex class of voltage-gated ino channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shaker-related subfamily. This member contains six membrane-spanning domains with a shaker-type repeat in the fourth segment. It belongs to the delayed rectifier class, the function of which could restore the resting membrane potential of beta cells after depolarization and thereby contribute to the regulation of insulin secretion. This gene is intronless, and the gene is clustered with genes KCNA1 and KCNA6 on chromosome 12. Defects in this gene are a cause of familial atrial fibrillation type 7 (ATFB7). [provided by RefSeq, May 2012]"
29,MGP001714,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCND3,1p13.3,1,KV4.3; SCA19; SCA22; KCND3L; KCND3S; KSHIVB;,"Voltage-gated potassium (Kv) channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shal-related subfamily, members of which form voltage-activated A-type potassium ion channels and are prominent in the repolarization phase of the action potential. This member includes two isoforms with different sizes, which are encoded by alternatively spliced transcript variants of this gene. [provided by RefSeq, Jul 2008]"
30,MGP001715,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNE1,21q22.12,21,ISK; JLNS; LQT5; MinK; JLNS2; LQT2/5;,"The product of this gene belongs to the potassium channel KCNE family. Potassium ion channels are essential to many cellular functions and show a high degree of diversity, varying in their electrophysiologic and pharmacologic properties. This gene encodes a transmembrane protein known to associate with the product of the KVLQT1 gene to form the delayed rectifier potassium channel. Mutation in this gene are associated with both Jervell and Lange-Nielsen and Romano-Ward forms of long-QT syndrome. Alternatively spliced transcript variants encoding the same protein have been identified. [provided by RefSeq, Jul 2008]"
31,MGP004078,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNE2,21q22.12,21,LQT5; LQT6; ATFB4; MIRP1;,"Voltage-gated potassium (Kv) channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. This gene encodes a member of the potassium channel, voltage-gated, isk-related subfamily. This member is a small integral membrane subunit that assembles with the KCNH2 gene product, a pore-forming protein, to alter its function. This gene is expressed in heart and muscle and the gene mutations are associated with cardiac arrhythmia. [provided by RefSeq, Jul 2008]"
32,MGP001718,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNH2,7q36.1,7,ERG1; HERG; LQT2; SQT1; ERG-1; H-ERG; HERG1; Kv11.1;,"This gene encodes a voltage-activated potassium channel belonging to the eag family. It shares sequence similarity with the Drosophila ether-a-go-go (eag) gene. Mutations in this gene can cause long QT syndrome type 2 (LQT2). Transcript variants encoding distinct isoforms have been identified. [provided by RefSeq, Jul 2008]"
33,MGP005046,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNIP2,10q24,10,KCHIP2;,"This gene encodes a member of the family of voltage-gated potassium (Kv) channel-interacting proteins (KCNIPs), which belongs to the recoverin branch of the EF-hand superfamily. Members of the KCNIP family are small calcium binding proteins. They all have EF-hand-like domains, and differ from each other in the N-terminus. They are integral subunit components of native Kv4 channel complexes. They may regulate A-type currents, and hence neuronal excitability, in response to changes in intracellular calcium. Multiple alternatively spliced transcript variants encoding distinct isoforms have been identified from this gene. [provided by RefSeq, Jul 2008]"
34,MGP001728,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNJ11,11p15.1,11,BIR; HHF2; PHHI; IKATP; TNDM3; KIR6.2;,"Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which has a greater tendency to allow potassium to flow into a cell rather than out of a cell, is controlled by G-proteins and is found associated with the sulfonylurea receptor SUR. Mutations in this gene are a cause of familial persistent hyperinsulinemic hypoglycemia of infancy (PHHI), an autosomal recessive disorder characterized by unregulated insulin secretion. Defects in this gene may also contribute to autosomal dominant non-insulin-dependent diabetes mellitus type II (NIDDM), transient neonatal diabetes mellitus type 3 (TNDM3), and permanent neonatal diabetes mellitus (PNDM). Multiple alternatively spliced transcript variants that encode different protein isoforms have been described for this gene. [provided by RefSeq, Oct 2009]"
35,MGP001720,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNJ2,17q24.3,17,IRK1; LQT7; SQT3; ATFB9; HHIRK1; KIR2.1; HHBIRK1;,"Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which has a greater tendency to allow potassium to flow into a cell rather than out of a cell, probably participates in establishing action potential waveform and excitability of neuronal and muscle tissues. Mutations in this gene have been associated with Andersen syndrome, which is characterized by periodic paralysis, cardiac arrhythmias, and dysmorphic features. [provided by RefSeq, Jul 2008]"
36,MGP001721,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNJ3,2q24.1,2,KGA; GIRK1; KIR3.1;,"Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which has a greater tendency to allow potassium to flow into a cell rather than out of a cell, is controlled by G-proteins and plays an important role in regulating heartbeat. It associates with three other G-protein-activated potassium channels to form a heteromultimeric pore-forming complex that also couples to neurotransmitter receptors in the brain and whereby channel activation can inhibit action potential firing by hyperpolarizing the plasma membrane. These multimeric G-protein-gated inwardly-rectifying potassium (GIRK) channels may play a role in the pathophysiology of epilepsy, addiction, Down's syndrome, ataxia, and Parkinson's disease. Alternative splicing results in multiple transcript variants encoding distinct proteins. [provided by RefSeq, May 2012]"
37,MGP001722,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNJ4,22q13.1,22,HIR; HRK1; IRK3; HIRK2; IRK-3; Kir2.3;,"Several different potassium channels are known to be involved with electrical signaling in the nervous system. One class is activated by depolarization whereas a second class is not. The latter are referred to as inwardly rectifying K+ channels, and they have a greater tendency to allow potassium to flow into the cell rather than out of it. This asymmetry in potassium ion conductance plays a key role in the excitability of muscle cells and neurons. The protein encoded by this gene is an integral membrane protein and member of the inward rectifier potassium channel family. The encoded protein has a small unitary conductance compared to other members of this protein family. Two transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]"
38,MGP001723,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNJ5,11q24,11,CIR; GIRK4; KATP1; LQT13; KIR3.4;,"Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which has a greater tendency to allow potassium to flow into a cell rather than out of a cell, is controlled by G-proteins. It may associate with two other G-protein-activated potassium channels to form a heteromultimeric pore-forming complex. [provided by RefSeq, Jul 2008]"
39,MGP001725,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNJ8,12p11.23,12,KIR6.1; uKATP-1;,"Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which has a greater tendency to allow potassium to flow into a cell rather than out of a cell, is controlled by G-proteins. Defects in this gene may be a cause of J-wave syndromes and sudden infant death syndrome (SIDS). [provided by RefSeq, May 2012]"
40,MGP001733,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNK1,1q42-q43,1,DPK; HOHO; K2P1; KCNO1; TWIK1; K2p1.1; TWIK-1;,"This gene encodes one of the members of the superfamily of potassium channel proteins containing two pore-forming P domains. The product of this gene has not been shown to be a functional channel, however, it may require other non-pore-forming proteins for activity. [provided by RefSeq, Jul 2008]"
41,MGP001742,http://www.genenames.org/cgi-bin/gene_symbol_report?match=KCNQ1,11p15.5,11,LQT; RWS; WRS; LQT1; SQT2; ATFB1; ATFB3; JLNS1; KCNA8; KCNA9; Kv1.9; Kv7.1; KVLQT1;,"This gene encodes a voltage-gated potassium channel required for repolarization phase of the cardiac action potential. This protein can form heteromultimers with two other potassium channel proteins, KCNE1 and KCNE3. Mutations in this gene are associated with hereditary long QT syndrome 1 (also known as Romano-Ward syndrome), Jervell and Lange-Nielsen syndrome, and familial atrial fibrillation. This gene exhibits tissue-specific imprinting, with preferential expression from the maternal allele in some tissues, and biallelic expression in others. This gene is located in a region of chromosome 11 amongst other imprinted genes that are associated with Beckwith-Wiedemann syndrome (BWS), and itself has been shown to be disrupted by chromosomal rearrangements in patients with BWS. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Aug 2011]"
